From,To,Node,Site ID,Site Name,Description,Av Speed,85th %ile,24 Hour,Total
,,,,,,(km/h),(km/h),,
2023-03-01,2023-03-31,SAUDI,10405370.0,10405370.0,Riyadh to Janadriya (Thumama Road) - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,10405500.0,10405500.0,Riyadh to Janadriya Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,10453330.0,10453330.0,Riyadh to Janadriya (Md. Ibn Farj Road) - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,10558160.0,10558160.0,Roma to Shawya,97.7,131,969,30031
2023-03-01,2023-03-31,SAUDI,10600650.0,10600650.0,Riyadh to Qassim Road,104.2,123,20303,519324
2023-03-01,2023-03-31,SAUDI,10600651.0,10600651.0,Qassim to Riyadh Road,114.5,138,19895,616733
2023-03-01,2023-03-31,SAUDI,10605350.0,10605350.0,Salbokh to Riyadh Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,11010150.0,11010150.0,Najran to Sharura Road, -, -, -, -
2023-03-01,2023-03-31,SAUDI,11011770.0,11011770.0,Najran to Wadi Dawaser Road,101.2,124,1933,59919
2023-03-01,2023-03-31,SAUDI,11011771.0,11011771.0,Wadi Dawaser to Najran Road, -, -, -, -
2023-03-01,2023-03-31,SAUDI,11021770.0,11021770.0,Najran to Sulayeil Road,110.1,142,1435,44499
2023-03-01,2023-03-31,SAUDI,11021771.0,11021771.0,Sulayeil to Najran Road,103.9,137,1375,42622
2023-03-01,2023-03-31,SAUDI,11030150.0,11030150.0,Najran to Khamis Museit Road,101.8,119,5601,173634
2023-03-01,2023-03-31,SAUDI,11030151.0,11030151.0,Khamis Musiet to Najran Road,101,118,5648,175098
2023-03-01,2023-03-31,SAUDI,11031770.0,11031770.0,Sulayeil to Najran Road - Transferred, -, -, -, -
